nct_id,enrollment_log,start_year,pre_semaglutide_era,post_semaglutide_era,phase_Unknown,phase_PHASE4,is_obesity,is_t2d,is_weight_loss,exc_count,criteria_total_len,mentions_bmi,mentions_contraindication,mentions_renal_cutoff,high_risk_term_count,risk_ratio,year_x_enrollment,enrollment_log_x_phase_Unknown,label
NCT05865444,6.3835066348840055,2023.0,0,1,0,0,1,0,0,0,235,0,0,0,0,0.0,12913.833922370342,0.0,0
NCT00006505,1.9459101490553128,2000.0,1,0,0,0,0,0,0,0,3526,1,0,0,1,1.0,3891.8202981106265,0.0,0
NCT04175665,7.033506484287697,2020.0,0,1,0,0,0,1,0,0,499,0,0,0,0,0.0,14207.683098261148,0.0,0
NCT00297635,0.0,2006.0,1,0,0,0,0,0,0,0,1292,0,0,0,0,0.0,0.0,0.0,0
NCT03248271,0.0,2017.0,0,1,0,0,0,0,0,0,412,0,0,0,0,0.0,0.0,0.0,0
NCT03239366,4.875197323201151,2017.0,0,1,0,0,0,0,0,0,5003,1,1,0,4,1.0,9833.273000896725,0.0,0
NCT00842426,5.488937726156687,2009.0,1,0,0,0,1,0,0,0,2996,1,0,0,1,0.25,11027.275891848783,0.0,0
NCT01021865,3.5263605246161616,2010.0,1,0,0,0,0,1,0,0,743,1,0,0,0,0.0,7087.984654478485,0.0,0
NCT05774119,2.3978952727983707,2022.0,0,1,0,0,1,0,0,0,825,1,1,0,0,0.0,4848.544241598305,0.0,0
NCT07121621,3.4339872044851463,2025.0,0,1,0,0,1,0,0,0,1193,1,1,1,2,1.0,6953.824089082421,0.0,0
NCT04155255,7.79934339821592,2016.0,1,0,0,0,1,0,0,0,622,1,0,0,0,0.0,15723.476290803295,0.0,0
NCT02616237,4.0943445622221,2014.0,1,0,0,0,1,0,1,0,927,1,0,0,0,0.0,8246.00994831531,0.0,0
NCT03506711,3.4339872044851463,2016.0,1,0,0,0,0,0,0,0,250,1,0,0,0,0.0,6922.918204242055,0.0,0
NCT05694351,2.9444389791664403,2024.0,0,1,0,0,0,0,0,0,407,0,0,0,0,0.0,5959.544493832875,0.0,0
NCT03244579,5.198497031265826,2017.0,0,1,0,0,0,0,0,0,1661,0,0,0,1,1.0,10485.36851206317,0.0,0
